book_id,isbn,isbn13,authors,publication_year,title,language_code,average_rating,ratings_count,image_url
1,439023483,9780439023480,Suzanne Collins,2008,"The Hunger Games (The Hunger Games, #1)",eng,4.34,4780653,https://images.gr-assets.com/books/1447303603m/2767052.jpg  
2,439554934,9780439554930,"J.K. Rowling, Mary GrandPré",1997,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,4.44,4602479,https://images.gr-assets.com/books/1474154022m/3.jpg  
3,316015849,9780316015840,Stephenie Meyer,2005,"Twilight (Twilight, #1)",en-US,3.57,3866839,https://images.gr-assets.com/books/1361039443m/41865.jpg  
4,61120081,9780061120080,Harper Lee,1960,To Kill a Mockingbird,eng,4.25,3198671,https://images.gr-assets.com/books/1361975680m/2657.jpg  
5,743273567,9780743273560,F. Scott Fitzgerald,1925,The Great Gatsby,eng,3.89,2683664,https://images.gr-assets.com/books/1490528560m/4671.jpg  
6,525478817,9780525478810,John Green,2012,The Fault in Our Stars,eng,4.26,2346404,https://images.gr-assets.com/books/1360206420m/11870085.jpg  
7,618260307,9780618260300,J.R.R. Tolkien,1937,The Hobbit,en-US,4.25,2071616,https://images.gr-assets.com/books/1372847500m/5907.jpg  
8,316769177,9780316769170,J.D. Salinger,1951,The Catcher in the Rye,eng,3.79,2044241,https://images.gr-assets.com/books/1398034300m/5107.jpg  
9,1416524797,9781416524790,Dan Brown,2000,"Angels & Demons  (Robert Langdon, #1)",en-CA,3.85,2001311,https://images.gr-assets.com/books/1303390735m/960.jpg  
10,679783261,9780679783270,Jane Austen,1813,Pride and Prejudice,eng,4.24,2035490,https://images.gr-assets.com/books/1320399351m/1885.jpg  
11,1594480001,9781594480000,Khaled Hosseini,2003,The Kite Runner,eng,4.26,1813044,https://images.gr-assets.com/books/1484565687m/77203.jpg  
12,62024035,9780062024040,Veronica Roth,2011,"Divergent (Divergent, #1)",eng,4.24,1903563,https://images.gr-assets.com/books/1328559506m/13335037.jpg  
13,451524934,9780451524940,"George Orwell, Erich Fromm, Celâl Üster",1949,1984,eng,4.14,1956832,https://images.gr-assets.com/books/1348990566m/5470.jpg  
14,452284244,9780452284240,George Orwell,1945,Animal Farm,eng,3.87,1881700,https://images.gr-assets.com/books/1424037542m/7613.jpg  
15,553296981,9780553296980,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,The Diary of a Young Girl,eng,4.1,1972666,https://images.gr-assets.com/books/1358276407m/48855.jpg  
16,307269752,9780307269750,"Stieg Larsson, Reg Keeland",2005,"The Girl with the Dragon Tattoo (Millennium, #1)",eng,4.11,1808403,https://images.gr-assets.com/books/1327868566m/2429135.jpg  
17,439023491,9780439023500,Suzanne Collins,2009,"Catching Fire (The Hunger Games, #2)",eng,4.3,1831039,https://images.gr-assets.com/books/1358273780m/6148028.jpg  
18,618346252,9780618346260,J.R.R. Tolkien,1954,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng,4.34,1766803,https://images.gr-assets.com/books/1298411339m/34.jpg  
19,439023513,9780439023510,Suzanne Collins,2010,"Mockingjay (The Hunger Games, #3)",eng,4.03,1719760,https://images.gr-assets.com/books/1358275419m/7260188.jpg  
20,439358078,9780439358070,"J.K. Rowling, Mary GrandPré",2003,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,4.46,1735368,https://images.gr-assets.com/books/1387141547m/2.jpg  
21,316166685,9780316166680,Alice Sebold,2002,The Lovely Bones,eng,3.77,1605173,https://images.gr-assets.com/books/1457810586m/12232938.jpg  
22,439064864,9780439064870,"J.K. Rowling, Mary GrandPré",1998,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng,4.37,1779331,https://images.gr-assets.com/books/1474169725m/15881.jpg  
23,439139600,9780439139600,"J.K. Rowling, Mary GrandPré",2000,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,4.53,1753043,https://images.gr-assets.com/books/1361482611m/6.jpg  
24,545010225,9780545010220,"J.K. Rowling, Mary GrandPré",2007,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,4.61,1746574,https://images.gr-assets.com/books/1474171184m/136251.jpg  
25,307277674,9780307277670,Dan Brown,2003,"The Da Vinci Code (Robert Langdon, #2)",eng,3.79,1447148,https://images.gr-assets.com/books/1303252999m/968.jpg  
26,439785960,9780439785970,"J.K. Rowling, Mary GrandPré",2005,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,4.54,1678823,https://images.gr-assets.com/books/1361039191m/1.jpg  
27,140283331,9780140283330,William Golding,1954,Lord of the Flies,eng,3.64,1605019,https://images.gr-assets.com/books/1327869409m/7624.jpg  
28,743477111,9780743477120,"William Shakespeare, Robert           Jackson",1595,Romeo and Juliet,eng,3.73,1628519,https://images.gr-assets.com/books/1327872146m/18135.jpg  
29,297859382,9780297859380,Gillian Flynn,2012,Gone Girl,eng,4.03,512475,https://images.gr-assets.com/books/1339602131m/8442457.jpg  
30,399155341,9780399155340,Kathryn Stockett,2009,The Help,eng,4.45,1531753,https://images.gr-assets.com/books/1346100365m/4667024.jpg  
31,142000671,9780142000670,John Steinbeck,1937,Of Mice and Men,eng,3.84,1467496,https://images.gr-assets.com/books/1437235233m/890.jpg  
32,739326228,9780739326220,Arthur Golden,1997,Memoirs of a Geisha,eng,4.08,1300209,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png  
33,1612130291,9781612130290,E.L. James,2011,"Fifty Shades of Grey (Fifty Shades, #1)",eng,3.67,1338493,https://images.gr-assets.com/books/1385207843m/10818853.jpg  
34,61122416,9780061122420,"Paulo Coelho, Alan R. Clarke",1988,The Alchemist,eng,3.82,1299566,https://images.gr-assets.com/books/1483412266m/865.jpg  
35,385732554,9780385732550,Lois Lowry,1993,"The Giver (The Giver, #1)",eng,4.12,1296825,https://images.gr-assets.com/books/1342493368m/3636.jpg  
36,60764899,9780060764890,C.S. Lewis,1950,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng,4.19,1531800,https://images.gr-assets.com/books/1353029077m/100915.jpg  
37,965818675,9780965818670,Audrey Niffenegger,2003,The Time Traveler's Wife,eng,3.95,746287,https://images.gr-assets.com/books/1437728815m/14050.jpg  
38,553588486,9780553588480,George R.R. Martin,1996,"A Game of Thrones (A Song of Ice and Fire, #1)",eng,4.45,1319204,https://images.gr-assets.com/books/1436732693m/13496.jpg  
39,143038419,9780143038410,Elizabeth Gilbert,2006,"Eat, Pray, Love",eng,3.51,1181647,https://images.gr-assets.com/books/1503066414m/19501.jpg  
40,786838655,9780786838650,Rick Riordan,2005,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng,4.23,1366265,https://images.gr-assets.com/books/1400602609m/28187.jpg  
41,451529308,9780451529300,Louisa May Alcott,1868,"Little Women (Little Women, #1)",en-US,4.04,1257121,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png  
42,142437204,9780142437210,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,eng,4.1,1198557,https://images.gr-assets.com/books/1327867269m/10210.jpg  
43,553816713,9780553816720,Nicholas Sparks,1996,"The Notebook (The Notebook, #1)",eng,4.06,1053403,https://images.gr-assets.com/books/1385738917m/15931.jpg  
44,1565125606,9781565125600,Sara Gruen,2006,Water for Elephants,eng,4.07,1068146,https://images.gr-assets.com/books/1494428973m/43641.jpg  
